decile,variable,value,year
decile 10,Restaurant,1204757.6971741882,94
decile 1,restaurant_std,63958.248656097014,94
decile 2,restaurant_std,113370.15856365884,94
decile 3,restaurant_std,176376.00330514341,94
decile 4,restaurant_std,226607.0988780819,94
decile 5,restaurant_std,260714.94323169105,94
decile 6,restaurant_std,357265.23726786376,94
decile 7,restaurant_std,371405.9239334708,94
decile 8,restaurant_std,576287.9625725464,94
decile 9,restaurant_std,1159163.5827519165,94
decile 10,restaurant_std,8722983.98491327,94
decile 1,Durables,489381.9730571441,94
decile 2,Durables,1048502.7111884629,94
decile 3,Durables,1580958.7057837152,94
decile 4,Durables,2187779.67711043,94
decile 5,Durables,2844341.298861846,94
decile 6,Durables,3640112.4780941536,94
decile 7,Durables,4573907.396273383,94
decile 8,Durables,6045077.631043693,94
decile 9,Durables,8661285.827749424,94
decile 10,Durables,15511389.539276676,94
decile 1,durables_std,625978.8599268026,94
decile 2,durables_std,1106594.6858958725,94
decile 3,durables_std,1465649.0867046104,94
decile 4,durables_std,1826202.5178647854,94
decile 5,durables_std,2266696.1984215854,94
decile 6,durables_std,2814098.0911531444,94
decile 7,durables_std,3399264.222850505,94
decile 8,durables_std,4652955.06981145,94
decile 9,durables_std,6806845.54321949,94
decile 10,durables_std,15619515.703911051,94
decile 1,Others,152802.50033249104,94
decile 2,Others,247683.89706954366,94
decile 3,Others,294657.43031502556,94
decile 4,Others,333115.3474544779,94
decile 5,Others,363597.3146937544,94
decile 6,Others,405299.06605922553,94
decile 7,Others,438490.9886264217,94
decile 8,Others,494277.29078208463,94
decile 9,Others,580737.306552519,94
decile 10,Others,899277.288064108,94
decile 1,others_std,156963.75960039443,94
decile 2,others_std,226004.2891903574,94
decile 3,others_std,249755.94301927148,94
decile 4,others_std,282549.34735355363,94
decile 5,others_std,307455.16785578587,94
decile 6,others_std,358509.45121165324,94
decile 7,others_std,368721.7151898366,94
decile 8,others_std,520439.76456886355,94
decile 9,others_std,850611.2821101906,94
decile 10,others_std,2510507.348234566,94
decile 1,Investments,25979.352307487698,94
decile 2,Investments,85854.53418865724,94
decile 3,Investments,163779.2072131508,94
decile 4,Investments,193467.96420165984,94
decile 5,Investments,248132.68966442056,94
decile 6,Investments,386870.44421981776,94
decile 7,Investments,510171.38482689665,94
decile 8,Investments,776219.4334109483,94
decile 9,Investments,1514557.8833278453,94
decile 10,Investments,9230896.86138057,94
decile 1,investments_std,212197.38733796272,94
decile 2,investments_std,457918.3008486287,94
decile 3,investments_std,708128.4380674083,94
decile 4,investments_std,781667.7721723643,94
decile 5,investments_std,941942.5931315992,94
decile 6,investments_std,1461815.2243857388,94
decile 7,investments_std,1966409.7848064199,94
decile 8,investments_std,2881109.916320411,94
decile 9,investments_std,5060734.571005033,94
decile 10,investments_std,31788186.70316529,94
decile 1,Entertainment,23979.086314669505,94
decile 2,Entertainment,48115.68741799096,94
decile 3,Entertainment,61290.86260926934,94
decile 4,Entertainment,69053.92976588629,94
decile 5,Entertainment,80341.94910992659,94
decile 6,Entertainment,90270.15945330296,94
decile 7,Entertainment,112917.44781902262,94
decile 8,Entertainment,128724.9691823038,94
decile 9,Entertainment,172581.82416858742,94
decile 10,Entertainment,364856.7060312105,94
decile 1,entertainment_std,69365.15444158293,94
decile 2,entertainment_std,117642.2383577911,94
decile 3,entertainment_std,145517.87947752376,94
decile 4,entertainment_std,160047.43528926425,94
decile 5,entertainment_std,183504.60125472656,94
decile 6,entertainment_std,228408.81897230583,94
decile 7,entertainment_std,346353.51137318567,94
decile 8,entertainment_std,261036.9114554647,94
decile 9,entertainment_std,543638.4073116933,94
decile 10,entertainment_std,1528258.4652101041,94
decile 1,Total,213.03371956646464,94
decile 2,Total,336.0056245541102,94
decile 3,Total,425.4028873672086,94
decile 4,Total,509.48299658498195,94
decile 5,Total,599.2373662030079,94
decile 6,Total,702.5586476418575,94
decile 7,Total,832.7004563117315,94
decile 8,Total,1016.7144347472761,94
decile 9,Total,1328.9195852084376,94
decile 10,Total,2547.319543068681,94
decile 1,total,52.7912928317746,94
decile 2,total,27.37205183927435,94
decile 3,total,24.496385527400076,94
decile 4,total,24.788112441602625,94
decile 5,total,27.441573675131437,94
decile 6,total,32.46336591511299,94
decile 7,total,44.52999905993276,94
decile 8,total,65.90506144172653,94
decile 9,total,123.30629433353648,94
decile 10,total,1461.687739338465,94
decile 1,Food,2601051.845807742,95
decile 2,Food,3721777.6208557435,95
decile 3,Food,4238176.3961438155,95
decile 4,Food,4652535.611282597,95
decile 5,Food,5087874.819834518,95
decile 6,Food,5405291.181388993,95
decile 7,Food,5898013.78017789,95
decile 8,Food,6463930.275609756,95
decile 9,Food,7518086.869186585,95
decile 10,Food,9013272.136999069,95
decile 1,food_std,1454938.2863624445,95
decile 2,food_std,1783089.9530832306,95
decile 3,food_std,1880829.2198792265,95
decile 4,food_std,2089885.7201696434,95
decile 5,food_std,2439877.773128449,95
decile 6,food_std,2461768.5135050775,95
decile 7,food_std,2825968.024033467,95
decile 8,food_std,3371749.868404766,95
decile 9,food_std,4682224.058288374,95
decile 10,food_std,7992797.042539315,95
decile 1,Drink,62218.13669475789,95
decile 2,Drink,113104.51553343501,95
decile 3,Drink,126273.40722801788,95
decile 4,Drink,118035.15167642363,95
decile 5,Drink,133241.73755972498,95
decile 6,Drink,138138.38986209466,95
decile 7,Drink,115503.42227869546,95
decile 8,Drink,135819.54268292684,95
decile 9,Drink,138249.20326107097,95
decile 10,Drink,122509.08667287977,95
decile 1,drink_std,225734.6688847251,95
decile 2,drink_std,324525.6621644891,95
decile 3,drink_std,372854.26043524104,95
decile 4,drink_std,348334.06682032446,95
decile 5,drink_std,418260.3894603387,95
decile 6,drink_std,430403.74938730156,95
decile 7,drink_std,407763.6493404211,95
decile 8,drink_std,435966.3357296761,95
decile 9,drink_std,537787.4329324934,95
decile 10,drink_std,399224.0248117102,95
decile 1,Cloth,155190.07998857307,95
decile 2,Cloth,358967.4078831179,95
decile 3,Cloth,489844.16915052163,95
decile 4,Cloth,599446.7802022352,95
decile 5,Cloth,764682.4962125627,95
decile 6,Cloth,894413.52963101,95
decile 7,Cloth,1094922.3492870252,95
decile 8,Cloth,1376837.8048780488,95
decile 9,Cloth,1826552.621826941,95
decile 10,Cloth,2670158.4342963654,95
decile 1,cloth_std,351476.3945737803,95
decile 2,cloth_std,705944.3304263985,95
decile 3,cloth_std,882009.0438072096,95
decile 4,cloth_std,1026324.2008099607,95
