,decile,variable,value,year
58,9.0,Health,0.06206180014519848,93
59,10.0,Health,0.06067010191109292,93
60,1.0,Transportation,0.0423028168988199,93
61,2.0,Transportation,0.045960109131761795,93
62,3.0,Transportation,0.047615885650827576,93
63,4.0,Transportation,0.04859103808863636,93
64,5.0,Transportation,0.05080231014837959,93
65,6.0,Transportation,0.049348489602716074,93
66,7.0,Transportation,0.0495251107776427,93
67,8.0,Transportation,0.04668575966463032,93
68,9.0,Transportation,0.043986663093261144,93
69,10.0,Transportation,0.03420901570046175,93
70,1.0,ICT,0.02580745518421446,93
71,2.0,ICT,0.02657155264605835,93
72,3.0,ICT,0.02640089957755909,93
73,4.0,ICT,0.02580281687167819,93
74,5.0,ICT,0.025152641941751906,93
75,6.0,ICT,0.024596984671787017,93
76,7.0,ICT,0.02338601318207019,93
77,8.0,ICT,0.02229413413627487,93
78,9.0,ICT,0.020135522805156313,93
79,10.0,ICT,0.01449539160379206,93
80,1.0,Entertainment,0.0029056230502938836,93
81,2.0,Entertainment,0.004178458326264696,93
82,3.0,Entertainment,0.004817647187886069,93
83,4.0,Entertainment,0.005076627796335243,93
84,5.0,Entertainment,0.0054906861845839495,93
85,6.0,Entertainment,0.005761317809252578,93
86,7.0,Entertainment,0.005512218210295842,93
87,8.0,Entertainment,0.005577335939164318,93
88,9.0,Entertainment,0.0055982641160619035,93
89,10.0,Entertainment,0.005777330283049156,93
90,1.0,Restaurant,0.003009289308702182,93
91,2.0,Restaurant,0.004911847327141126,93
92,3.0,Restaurant,0.00554568663373173,93
93,4.0,Restaurant,0.00645485888652785,93
94,5.0,Restaurant,0.006574502194908302,93
95,6.0,Restaurant,0.007624660305938163,93
96,7.0,Restaurant,0.007475912041261723,93
97,8.0,Restaurant,0.009227695254639567,93
98,9.0,Restaurant,0.009614993099515686,93
99,10.0,Restaurant,0.01729326354514518,93
100,1.0,Others,0.023703339257034946,93
101,2.0,Others,0.025184671453208147,93
102,3.0,Others,0.025843178019488624,93
103,4.0,Others,0.02494313251052443,93
104,5.0,Others,0.023890540717241473,93
105,6.0,Others,0.023690450674626894,93
106,7.0,Others,0.02210120959091585,93
107,8.0,Others,0.020565876680177425,93
108,9.0,Others,0.017878385579148576,93
109,10.0,Others,0.015305444702364205,93
110,1.0,Durables,0.06305463155045388,93
111,2.0,Durables,0.09789922521199582,93
112,3.0,Durables,0.1260653873415648,93
113,4.0,Durables,0.14804076884055314,93
114,5.0,Durables,0.17127223104975728,93
115,6.0,Durables,0.18918130186434853,93
116,7.0,Durables,0.20912066192775602,93
117,8.0,Durables,0.2347581057819325,93
118,9.0,Durables,0.2711457900454774,93
119,10.0,Durables,0.2719818485042553,93
120,1.0,Investments,0.008122955620231968,93
121,2.0,Investments,0.014308473682450078,93
122,3.0,Investments,0.015945903144604274,93
123,4.0,Investments,0.018332831818979274,93
124,5.0,Investments,0.019249177777973702,93
125,6.0,Investments,0.02365179718746972,93
126,7.0,Investments,0.026878025688160258,93
127,8.0,Investments,0.031577613619627305,93
